Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin K	6.4	Homo sapiens	CC[C@@H](CNc1ccc(OCC(=O)OC(C)(C)C)cc1)NC(=O)[C@H](CC(C)C)Nc1cccc(-c2ccccc2)c1
Cathepsin K	1.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2nnc(C(F)(F)F)s2)CC1(C)C)C(=O)C(=O)Nc1cc[nH]n1
Cathepsin K	6.9	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2ccc(-c3ccccc3)cc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	1.7	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2ccc3[nH]ccc3c2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	2.1	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)Nc2ccc(C(F)(F)F)cc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	16.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)N2CCOCC2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	3.8	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)NCc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	4.3	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)Nc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	29.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)Oc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	1.3	Homo sapiens	CC(C)C[C@H](NC(c1ccc(Br)cc1)C(F)(F)F)C(=O)NCC#N
Cathepsin K	4.6	Homo sapiens	CC(C)CC(NC(c1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(F)(F)F)C(=O)NCC#N
Cathepsin K	1000.1	Homo sapiens	CC(=O)N1CCC(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1
Cathepsin K	1000.1	Homo sapiens	N#Cc1ncc2cc(CNc3ccccc3)n(CCC3CCCCC3)c2n1
Cathepsin K	1000.1	Homo sapiens	N#Cc1ncc2cc(Cc3ccc(Cl)cc3)n(CCN3CCCCC3)c2n1
Cathepsin K	72.0	Homo sapiens	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N[C@@H]1Sc1ccccc1)OCc1ccccc1
Cathepsin K	8.9	Homo sapiens	CC[C@@H](CC1CCCCC1)OC(=O)NC1CCN(C#N)C1
Cathepsin K	8100.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H](C)CC1CCCCC1)C(=O)c1noc(C)n1
Cathepsin K	68.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)COC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	19.0	Homo sapiens	CC(C)C[C@H](NC(=O)OCC1CCCCC1)C(=O)NC1CCN(C#N)C1
Cathepsin K	18.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)CCCCC1)C(=O)C(=O)Nc1cc[nH]n1
Cathepsin K	100000.1	Homo sapiens	N#Cc1ccccc1N1CCN(C[C@H](O)COC[C@@H](Cc2ccccc2)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)CC1
Cathepsin K	100000.1	Homo sapiens	N#Cc1ccccc1N1CCN(C[C@@H](O)COC[C@@H](Cc2ccccc2)NC(=O)c2ccncc2)CC1
