Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	 0.391	Homo sapiens	FC(F)(F)c1cc(ccc1S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N)-n1cncn1
Cathepsin S	 0.393	Homo sapiens	COc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)c1ncc(Cl)cc1F)C(=O)NC1(CC1)C#N
Cathepsin S	 0.398	Homo sapiens	Fc1cc(Cl)cnc1C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccccc1Cl
Cathepsin S	 2.6	Homo sapiens	CCN1CCN(CC1)C(=O)COc1ccc(cc1C(F)(F)F)-c1nc(nc2n(C)cnc12)C#N
Cathepsin S	 2.6		CN(C)CCCOc1ccc(cc1C(F)(F)F)-c1cc2n(C)cnc2c(n1)C#N
Cathepsin S	 2.6	Homo sapiens	FC(F)(F)c1cc(ccc1OCCC1CCNCC1)-c1nc(nc2n(ccc12)C1CCOCC1)C#N
Cathepsin S	 2.608	Homo sapiens	CC(C)C[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Cl)cc1F)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1
Cathepsin S	 2.7	Homo sapiens	CC(CNC(=O)c1cnc(nc1N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)N1CCN(CC1)C(C)(C)C)C#N)c1ccc(Cl)cc1
Cathepsin S	 2.7	Homo sapiens	CS(=O)(=O)N1CCC(CC1)N1CCC1C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccccc1Cl
Cathepsin S	 2.7	Homo sapiens	CN1CCC[C@H]1C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOC4)cnc23)C#N)CC1
