Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin B	1640.0	Homo sapiens	CC(=O)c1c(Nc2ccc(Br)cc2)nc2c(Br)ccc(Br)c2c1O
Cathepsin B	1660.0	Homo sapiens	COc1ccc(cc1)-c1ccc(cc1)[C@H](N[C@@H](CC(C)C)C(=O)NCC#N)C(F)(F)F
Cathepsin B	1666.3	Homo sapiens	Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccc(F)cc1
Cathepsin B	1690.0	Homo sapiens	COc1ccc(nc1OC)N1CCN([C@H](C)C1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N
Cathepsin B	1700.0	Homo sapiens	NC(=S)NN=C(C=Cc1ccccc1)c1cccc(c1)C(F)(F)F
Cathepsin B	1700.0	Homo sapiens	Fc1cccc(Nc2nc(NC3CCNCC3)nc(n2)C#N)c1
Cathepsin B	1700.0	Homo sapiens	[O-][N+](=O)c1cccc(Nc2nc(NC3CCNCC3)nc(n2)C#N)c1
Cathepsin B	1721.0	Homo sapiens	CC(C)C[C@H](NC(=O)c1ccc(cc1)-c1ccccc1)C(=O)NC1(CC1)C#N
Cathepsin B	1744.0	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)N1CCOCC1
Cathepsin B	1749.09	Homo sapiens	Cc1ccc(cc1)S(=O)(=O)n1nc(OC(=O)c2ccco2)cc1N
Cathepsin B	1750.0	Homo sapiens	CC(=O)c1c(O)c2c(C)ccc(Cl)c2nc1Nc1ccc(Br)cc1Br
Cathepsin B	1760.0	Homo sapiens	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@H]2OCCN2C1=O)OCc1ccccc1
Cathepsin B	1800.0	Homo sapiens	FC(F)(F)Oc1cccc(Nc2nc(NC3CCNCC3)nc(n2)C#N)c1
Cathepsin B	1800.0	Homo sapiens	CN1C(N)=N[C@@]2([C@@H]3OCCC[C@@]3(C)Oc3ccc(cc23)-c2cccnc2F)C1=O
Cathepsin B	1800.0	Homo sapiens	CCCC[C@H](NC(=O)OC1(Cc2ccccc2)CCCC1)C=NN=C(O)N1CCc2ccccc12
Cathepsin B	1800.0	Homo sapiens	Cc1ccc(cc1)C(=NNC(N)=S)c1cc(Cl)cc(Cl)c1
