Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin K	16.0	Homo sapiens	C[C@@H]1CN(CCN1C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N)c1ccc2c(C)noc2c1	2
Cathepsin K	16.0	Homo sapiens	CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)N1CCN(CC(C)(C)N)CC1	2
Cathepsin K	16.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(CC1(C)C)C(=O)N1CCOCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	16.0	Homo sapiens	CC(C)(C)OC(=O)N[C@@H](CCCC1CCCCC1)C=O	2
Cathepsin K	16.2	Homo sapiens	C[C@@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCc2[nH]c3ccc(F)cc3c2C1)C#N	2
Cathepsin K	16.98	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CCCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	16.98	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1CN(CC1(C)C)S(=O)(=O)Cc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	17.0	Homo sapiens	[O-][N+](=O)c1ccc(Nc2nc(nc(n2)N2CCNCC2)C#N)cc1	2
Cathepsin K	17.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1C(C)C	2
Cathepsin K	17.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)COC1)C(=O)C(=O)Nc1ccn[nH]1	2
Cathepsin K	17.0	Homo sapiens	O=S(=O)(NCC1CN(C1)C#N)c1ccccc1	2
Cathepsin K	17.0	Homo sapiens	COc1ccc(Nc2nc(nc(n2)N2CCNCC2)C#N)cc1	2
Cathepsin K	17.0	Homo sapiens	[O-][N+](=O)c1cccc(Nc2nc(NC3CCCCC3)nc(n2)C#N)c1	2
Cathepsin K	17.0	Homo sapiens	[O-][N+](=O)c1ccc(Nc2nc(NC3CCCCC3)nc(n2)C#N)cc1	2
Cathepsin K	17.0	Homo sapiens	[O-][N+](=O)c1cccc(Nc2nc(nc(n2)N2CCNCC2)C#N)c1	2
Cathepsin K	17.0	Homo sapiens	C[C@@H]1CN(CCN1C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N)c1ccc2c(C)nnc(C)c2c1	2
Cathepsin K	17.0	Homo sapiens	CS(=O)(=O)c1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	2
Cathepsin K	17.0	Homo sapiens	CCCc1cc(nc(n1)C#N)-c1ccc(C)c(c1)C(F)(F)F	2
Cathepsin K	17.0	Homo sapiens	Clc1ccc(Cc2cc3cnc(nc3n2CCC2CCCC2)C#N)cc1	2
Cathepsin K	17.0	Homo sapiens	CC(C)(C)CNc1nc(nc(N2CCOCC2)c1N)C#N	2
Cathepsin K	17.0	Homo sapiens	FC(F)(F)c1cccc(c1)-n1nc(C#N)c(=O)n(CCCN2CCCCC2)c1=O	2
Cathepsin K	17.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(CC1(C)C)S(=O)(=O)Cc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	17.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CSc2nccs2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	17.3	Homo sapiens	C[C@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCc2[nH]c3ccc(F)cc3c2C1)C#N	2
Cathepsin K	17.4	Homo sapiens	CN(N=C(c1ccccc1)c1cccc(c1)C(=O)c1ccccc1)C(N)=S	2
Cathepsin K	17.9	Homo sapiens	COC1=CC(=O)N([C@H]1Cc1c[nH]c2ccccc12)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C1CCN(C)CC1	2
Cathepsin K	18.0	Homo sapiens	O=C(NCC#N)[C@@H]1CCCC[C@H]1C(=O)N1CCC=CC1	2
Cathepsin K	18.0	Homo sapiens	CS(=O)(=O)c1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	2
Cathepsin K	18.0	Homo sapiens	CC(C)CNc1nc(nc(N2CCOCC2)c1N)C#N	2
Cathepsin K	18.0	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)C1CCNCC1	2
Cathepsin K	18.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)CCCCC1)C(=O)C(=O)Nc1ccn[nH]1	2
Cathepsin K	18.0	Homo sapiens	O=S(=O)(NC1CCN(C1)C#N)c1ccccc1	2
