Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin B	1844.0	Homo sapiens	Fc1cccc(CS(=O)(=O)C[C@H](N[C@@H](c2ccccc2)C(F)(F)F)C(=O)NC2(CC2)C#N)c1F	0
Cathepsin B	1850.0	Homo sapiens	COc1ccc(cc1OC)N1CCN([C@H](C)C1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
Cathepsin B	1852.5	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)C(F)(F)F)S(=O)(=O)c1ccccc1C(F)(F)F)C(=O)C(=O)NC1CC1	0
Cathepsin B	1873.0	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F)C(=O)NCC#N	0
Cathepsin B	1900.0	Homo sapiens	CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O	0
Cathepsin B	1900.0	Homo sapiens	CC(C)C[C@H](NC(=O)OCC(C)(C)Oc1ccc(F)cc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O	0
Cathepsin B	1900.0	Homo sapiens	Fc1cccc(Nc2nc(nc(n2)N2CCOCC2)C#N)c1	0
Cathepsin B	1900.0	Homo sapiens	Cc1cccc(C[C@H](NC(=O)c2ccccc2)C(=O)NCC#N)c1	0
Cathepsin B	1903.0	Homo sapiens	CC(C)C[C@H](NC(=O)c1ccccc1)C(=O)NCC#N	0
Cathepsin B	1980.0	Homo sapiens	CS(=O)(=O)C[C@H](N[C@@H](c1ccccc1)C(F)(F)F)C(=O)NC1(CC1)C#N	0
Cathepsin B	1990.0	Homo sapiens	Cc1ccc(cc1)S(=O)(=O)n1nc(OC(=O)c2cccs2)cc1N	0
Cathepsin B	1995.0	Homo sapiens	Cc1cc(C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)c(C)s1	0
