Target Name	IC50 (nM)	Value	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	10000.0	'='	Homo sapiens	CC(=O)N1CCC(C2CCN(C[C@H](O)Cn3nc(-c4ccc(Cl)c(C#Cc5ccc(Cl)cc5)c4)c4c3CCN(S(C)(=O)=O)C4)CC2)CC1
Cathepsin S	430.0	'='	Homo sapiens	CCCC[C@H](NC(=O)OC1(Cc2ccccc2)CCCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin S	1800.0	'='	Homo sapiens	Cn1c(=O)n(C2CCN(CCCn3nccc(-c4ccc(Cl)c(CNC(=O)c5ccc(F)cc5)c4)c3=O)CC2)c2cc(Cl)ccc21
Cathepsin S	15.85	'='	Homo sapiens	CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(C#N)nc21
Cathepsin S	37.0	'='	Homo sapiens	N#C[C@H](COCc1ccccc1)NC(=O)[C@@H](CC(=O)N1CCOCC1)CC1CCCCC1
Cathepsin S	3.466	'='	Homo sapiens	N#CC1(NC(=O)[C@@H]2C[C@@H](Sc3cc(C(F)(F)F)ccc3Cl)CN2C(=O)C2(c3ncc(Cl)cc3F)CC2)CC1
Cathepsin S	32.0	'='	Homo sapiens	CN(CC1CCCCC1)c1nc(C#N)ncc1C(=O)NCCc1ccccc1
Cathepsin S	0.9	'<'	Homo sapiens	CN1CCC(CCOc2nc(C#N)nc(NCC3CCC4(CC3)CC4)c2C(=O)NCCc2ccccc2)CC1
Cathepsin S	1000.1	'>'	Homo sapiens	CC(C)(C)Cn1c(CN2CCC3(CC2)NC(=O)NC3=O)cc2cnc(C#N)nc21
Cathepsin S	1000.1	'>'	Homo sapiens	CNC(=O)c1c(NCC2OCC3(CCC3)CO2)nc(C#N)nc1OCC1CCN(C)CC1
Cathepsin S	63.0	'='	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C[C@H](C)C[C@H](C)C1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin S	2.979	'='	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccc(F)cc2C(F)(F)F)CN1c1cc(C)nn1C1CCC1)C(=O)C(=O)NC1CC1
Cathepsin S	3162.28	'='	Homo sapiens	CC(C)(C#N)c1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1
Cathepsin S	100.0	'='	Homo sapiens	COC(=O)[C@H](NCc1ccc(C#Cc2cc(-c3nn(CCCN4CCOCC4)c4c3CN(S(C)(=O)=O)CC4)ccc2Cl)cc1)c1ccccc1
Cathepsin S	7400.0	'='	Homo sapiens	CC#Cc1cc(-c2nn(CCCN3CCOCC3)c3c2CN(S(C)(=O)=O)CC3)ccc1Cl
Cathepsin S	330.0	'='	Homo sapiens	O=C(c1ccco1)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(Cl)cc4)c3)nn2CCCN2CCOCC2)C1
Cathepsin S	3368.0	'='	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(C3CNCCO3)cc2)c1
