Ligand SMILES	Potency
CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CC(C)C)C(C)C)C(=O)NCCc1ccccc1	1
CC(C)C[C@H](NC(=O)CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](N)CC(=O)N[C@H](COc1cccnc1)C(C)C	1
NC1=Nc2cc(ccc2CN1C1Cc2ccccc2C1)C(=O)N1CCOc2ccccc12	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCc2cccc(c2)-c2ccn(C)n2)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCc2ccc(F)c(OC)c2)c(OC)c1	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)NCC(C)C)cc1OC	1
Fc1ccc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(F)c(c2)C(F)(F)F)cc1OC(F)(F)F	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)NCc2ccc(cc2)-c2csnn2)cc1OC	1
CC[C@H](C)CNC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1cccc(OC)c1	1
OC(=O)C(F)(F)F.COC[C@@H](NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1)C(=O)Nc1cc(ccc1C)S(N)(=O)=O	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(CCCCC1)c1cc(ncn1)C(C)(C)C	1
COc1ccc(F)c(c1)-c1ccc2OC(C)(C)CC3(N=C(N)N(C)C3=O)c2c1	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCc2ccc(F)c(OC)c2)c(Br)c1	1
COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccccc2Br)ccc1F	1
COC[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(c3)C(C)(C)C)[C@H]2O)cc(F)c1N)C(F)(F)F	1
COCCOC[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(c3)C(C)(C)C)[C@H]2O)cc(F)c1N)C(F)(F)F	1
CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)cc(Cl)c4NS(=O)(=O)c4cc(Cl)cc(Cl)c4O)cc3)sc2c1	1
CS(=O)(=O)N(c1ccccc1)c1cc(cc(c1)-c1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(c1)C(F)(F)F	1
CCN(CC)C(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC(C)(C)c1cccc(OC)c1)N1CCCCC1	1
CC[C@H](C)CNC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1ccccc1	1
CN1[C@H](C[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C1=O)C=C	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCCc2ccc(Cc3ccccc3)cc12	1
COC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)C(C)C	1
CC(C)C[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)NC(C)C	1
COC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CC[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CC(C)C)C(C)C)C(C)C	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(OC3CCOC3)cc12	1
OC(=O)C(F)(F)F.CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC(C)C)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)c1	1
COc1ccc2CC(Cc2c1)NC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1	1
CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(C)=O	1
COc1cc(CNC(=O)[C@@H](Cc2ccccc2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc(OC)c1	1
COc1cccc2CC(Cc12)NC(=O)[C@@H](CC(C)C)NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCc2cc(OC)c(OC)cc2Br)cc1OC	1
CC[C@H](C)NC(=O)[C@@H](CC(C)C)NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(CCCCC1)c1cc(no1)C(C)(C)C	1
CN1C(N)=NC2(CC(C)(C)Oc3ccc(cc23)-c2cc(Cl)ccc2F)C1=O	1
CCCN1CCCCOc2cccc(C[C@H](NC(=O)c3cccc(c3)C1=O)[C@H](O)CNC(C)(C)c1cccc(OC)c1)c2	1
COc1cccc(c1)C(C)(C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(cc(c1)C(=O)N(CCO)CCO)N1CCCCC1	1
CCc1ccc2CN(C3Cc4ccc(OC)cc4C3)C(N)=Nc2c1	1
COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc3OCOc3c2)ccc1F	1
CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](O)C(C)C)[C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)NCc2ccc(cc2)S(N)(=O)=O)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCc2ccc(F)cc2)cc1OC	1
COc1ccc2C[C@@H](Cc2c1)N1Cc2ccc(cc2N=C1N)C(F)(F)F	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(CCCCC1)c1cc(cs1)C#C	1
COC[C@@H]1C[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)N1C	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)NCc2cccc(-c3nnn[nH]3)c2F)cc1OC	1
CC(C)C[C@H](NC(=O)CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](N)CC(=O)N[C@@H](COc1cccnc1)C(C)C	1
CS(=O)(=O)N(c1ccncc1)c1cccc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(c1)C(F)(F)F	1
CCCCNC(=O)[C@@H](NC(=O)[C@@H]1OCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)NCc2ccc(F)c(c2)-c2nn[nH]n2)cc1OC	1
COc1ccc2CC(Cc2c1)NC(=O)[C@@H](CC(C)C)NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCCC(C)C)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2ccc(F)c(c2)C(F)(F)F)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2cccc(OC(F)(F)F)c2)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCc2cccc(OC)c2OC)cc1OC	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(OC3CCCO3)cc12	1
CCCOc1cccc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(c3)C(C)(C)C)[C@H]2O)c1	1
COC[C@@H](Oc1cc(C[C@@H]2C[S@@](=O)C[C@H](NCc3cc(ccc3F)C(C)(C)C)[C@H]2O)cc(F)c1N)C(F)(F)F	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCc2cccc(c2)-c2nccs2)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NC(C)C)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)N[C@H]2CCN(C2=O)c2cccc(Cl)c2)cc1OC	1
COc1cccc(c1)-c1ccc2OC(C)(C)CC3(N=C(N)N(C)C3=O)c2c1	1
COc1ccc(CCNC(=O)[C@@H](Cc2ccc(Cl)cc2Cl)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc1OC	1
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1ccc(Oc2ccc(cc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)NCCCNc2ccnc3ccccc23)cc1)[C@@H](C)CC	1
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(CCc2[nH]ncc2C1)c1cccc(c1)C(C)(C)C	1
