Ligand SMILES	Potency
FC(F)(F)Oc1cccc(Nc2nc(NC3CCNCC3)nc(n2)C#N)c1	0
CN1C(N)=N[C@@]2([C@@H]3OCCC[C@@]3(C)Oc3ccc(cc23)-c2cccnc2F)C1=O	0
CCCC[C@H](NC(=O)OC1(Cc2ccccc2)CCCC1)C=NN=C(O)N1CCc2ccccc12	0
Cc1ccc(cc1)C(=NNC(N)=S)c1cc(Cl)cc(Cl)c1	0
Oc1ccc(cc1)C(=O)\C=C\c1ccc(cc1)N1CCCC1	0
CC(C)C[C@H](Nc1ccccc1-c1ccc(cc1)N1CCNCC1)C(=O)NCC#N	0
Fc1cccc(CS(=O)(=O)C[C@H](N[C@@H](c2ccccc2)C(F)(F)F)C(=O)NC2(CC2)C#N)c1F	0
COc1ccc(cc1OC)N1CCN([C@H](C)C1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)C(F)(F)F)S(=O)(=O)c1ccccc1C(F)(F)F)C(=O)C(=O)NC1CC1	0
CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F)C(=O)NCC#N	0
CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O	0
CC(C)C[C@H](NC(=O)OCC(C)(C)Oc1ccc(F)cc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O	0
Fc1cccc(Nc2nc(nc(n2)N2CCOCC2)C#N)c1	0
Cc1cccc(C[C@H](NC(=O)c2ccccc2)C(=O)NCC#N)c1	0
CC(C)C[C@H](NC(=O)c1ccccc1)C(=O)NCC#N	0
CS(=O)(=O)C[C@H](N[C@@H](c1ccccc1)C(F)(F)F)C(=O)NC1(CC1)C#N	0
Cc1ccc(cc1)S(=O)(=O)n1nc(OC(=O)c2cccs2)cc1N	0
Cc1cc(C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)c(C)s1	0
O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nc2CCCc2s1	0
CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC1CC1	0
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O	0
O[C@H](CN(Cc1ccccc1)C(=O)[CH-][N+]#N)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1	0
N#CN1CCC1	0
CCCC[C@H](NC(=O)OCC1(CCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	0
CCCC[C@H](NC(=O)OCC1(CCCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	0
CCCC[C@H](NC(=O)O[C@H]1CCCc2ccccc12)C(=O)C(=O)N[C@H](C)c1ccccc1	0
CCC(C)[C@@H](NC(=O)OC(C)(C)C)c1nnc(o1)S(=O)(=O)Cc1cccc(C)c1	0
COc1cc2c([nH]c3c4C=CC(C)(C)Oc4c(C)cc23)c(c1O)-c1c(O)c(OC)cc2c1[nH]c1c3C=CC(C)(C)Oc3c(C)cc21	0
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)C(C(=O)c3ccc(O)c(O)c3)C(=O)[C@]1(CC=C(C)C)C2=O	0
CC(=O)NC(=O)NC1OC(=O)C(Cl)=C1Cl	0
CCCC[C@H](NC(=O)OC(CC)(CC)Cc1ccccc1)C=O	0
O=C(NC1(CC1)C#N)[C@H](Cc1ccccc1)NC(=O)c1ccc(cc1)-c1ccccc1	0
CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)C12CCN(CC1)CC2	0
O=C(NC1(CC1)C#N)[C@H](Cc1ccc(O[C@@H]2CCNC2)cc1)NC(=O)c1ccc(cc1)-c1ccccc1	0
O=C(CSc1nnc(-c2ccco2)c(n1)-c1ccco1)Nc1ccccc1	0
CCOC(=O)\C=C\C=C\C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1	0
COc1cccc(Nc2nc(nc(n2)N2CCOCC2)C#N)c1	0
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1	0
N#CN1Cc2cc3ccccc3nc2C1	0
CC(C)C[C@H](NC(=O)c1ccc(CN2CCN(C)CC2)cc1)C(=O)NC1(CCS(=O)(=O)CC1)C#N	0
CCC(CC)NCCCc1cc(nc(n1)C#N)-c1cccc(c1)C(F)(F)F	0
O=C(NC1(CC1)C#N)[C@H](Cc1cscn1)NC(=O)c1ccc(cc1)-c1ccccc1	0
CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccncc1)C(F)(F)F)C(=O)NCC#N	0
CS(=O)(=O)c1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
CN1C(N)=N[C@@]2([C@H]3OCCC[C@@H]3Oc3ccc(cc23)-c2cccnc2F)C1=O	0
CC(C)CC(C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)N1CCNCC1	0
CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1cccc(F)c1)C(F)(F)F)C(=O)NCC#N	0
CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)c1ccccc1)C(C)(C)C)C(=O)C(=O)NCC(=O)N1CCN(C)CC1	0
CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)c1ccnc2ccccc12)C(C)(C)C)C(=O)C(=O)NCC(=O)N1CCN(CC1)C(C)C	0
CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)c1ccccc1)C12CC3CC(CC(C3)C1)C2)C(=O)C(=O)NCC(=O)N1CCN(C)CC1	0
[O-]C=O.CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)C(=O)NCC(=O)N1CC[N+](C)(C)CC1	0
CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)C(=O)N[C@@H](C)C(=O)N1CCN(C)CC1	0
CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)C(=O)NCC(=O)N1CCN(CC1)C(C)C	0
CC(C)C[C@H](NC(=O)c1ccc(cc1)-c1ccccc1)C(=O)NC1(CCS(=O)(=O)CC1)C#N	0
OCCCn1cnc2c(NCc3cccc(c3)-c3cccs3)nc(nc12)C#N	0
O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nccs1	0
CC1(C)COCc2sc(nc12)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
Cc1nc(sc1C)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
CC(C)(NCCCc1cc(nc(n1)C#N)-c1cccc(c1)C(F)(F)F)C(N)=O	0
Cc1ccc(cc1)C(=O)N[C@@H](Cc1cccc(Cl)c1)C(=O)NCC#N	0
CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)N1CCN(C)CC1	0
CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N	0
NCCCCC(NC(=O)C1CCCC1)C(=O)COc1cc(F)cc(F)c1F	0
O=C(NC1(CC1)C#N)[C@H](Cc1cccnc1)NC(=O)c1ccc(cc1)-c1ccccc1	0
Fc1ccc(CS(=O)(=O)C[C@H](N[C@@H](c2ccccc2)C(F)(F)F)C(=O)NC2(CC2)C#N)cc1	0
Cc1csc(c1)C(=O)Oc1cc(N)n(n1)S(=O)(=O)c1ccccc1	0
CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N1Cc2ccccc2C1=O)C(C)(C)C)C(=O)C(=O)NCc1ccc(CN(C)C)cc1	0
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C(=O)COC(=O)C1(CCCCC1)C(F)(F)F	0
O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCc2[nH]c3ncccc3c2C1	0
CS(=O)(=O)c1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
CCOc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
FC(F)(F)Oc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
CSc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
COc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
FC(F)(F)c1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCc2[nH]c3c(cccc3c2C1)C#N	0
Brc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
Cc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
Clc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
CS(=O)(=O)c1ccc2c3CN(CCc3[nH]c2c1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
CS(=O)(=O)c1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
CC(C)c1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
FC(F)(F)c1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
COc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
Clc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
Cn1c2CCN(Cc2c2c(F)c(F)ccc12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
Fc1cccc2[nH]c3CCN(Cc3c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
Fc1ccc2c3CN(CCc3[nH]c2c1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
Fc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCc2[nH]c3ccccc3c2C1	0
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1c1cc(C)nn1C1CCC1)S(=O)(=O)c1ccc(F)cc1C(F)(F)F)C(=O)C(=O)NC1CC1	0
C[C@@H]1CN(CCN1C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N)c1ccc2c(C)nnc(C)c2c1	0
NCC(=O)N[C@@H](Cc1ccc(I)cc1)C(=O)[CH-][N+]#N	0
FC(F)(F)[C@@H](N[C@@H](CS(=O)(=O)c1nc2ccccc2s1)C(=O)NC1(CC1)C#N)c1ccccc1	0
CC(C)C[C@H](N[C@@H](c1ccc(Br)cc1)C(F)(F)F)C(=O)NCC#N	0
COc1cc(ccc1Nc1ccc(N2CCCCC2)c(Oc2ccc(C)c(NC(=O)C=C)c2)n1)N1CCN(C)CC1	0
COc1cc(ccc1Nc1ccc(N2CCOCC2)c(Oc2ccc(C)c(NC(=O)C=C)c2)n1)N1CCN(C)CC1	0
COc1cc(ccc1Nc1ccc(N2CCCC2)c(Oc2ccc(C)c(NC(=O)C=C)c2)n1)N1CCN(C)CC1	0
[NH3+][C@@H](Cc1ccccc1F)C(=O)N[C@]1(C[C@H]1c1ccccc1)C#N	0
