Ligand SMILES	Potency
Cc1ncccc1-c1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)c1ncc(I)cc1F)C(=O)NC1(CC1)C#N	3
FC(F)(F)c1cc(ccc1S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N)-n1ccnn1	3
FC(F)(F)c1cc(ccc1S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N)-n1cncn1	3
COc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)c1ncc(Cl)cc1F)C(=O)NC1(CC1)C#N	3
Fc1cc(Cl)cnc1C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccccc1Cl	3
CCN1CCN(CC1)C(=O)COc1ccc(cc1C(F)(F)F)-c1nc(nc2n(C)cnc12)C#N	2
FC(F)(F)c1cc(ccc1OCCC1CCNCC1)-c1nc(nc2n(ccc12)C1CCOCC1)C#N	2
CC(C)C[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Cl)cc1F)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	2
CC(CNC(=O)c1cnc(nc1N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)N1CCN(CC1)C(C)(C)C)C#N)c1ccc(Cl)cc1	2
CS(=O)(=O)N1CCC(CC1)N1CCC1C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccccc1Cl	2
CN1CCC[C@H]1C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOC4)cnc23)C#N)CC1	2
Cn1ccc2c(nc(nc12)C#N)-c1cnc(OCCC2CCCNC2)c(c1)C(F)(F)F	2
CCN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CCOC)ccc23)C#N)CC1	2
Cn1cnc2c(nc(nc12)C#N)-c1ccc(OCCC2CCN(CC#N)CC2)c(c1)C(F)(F)F	2
Cn1cnc2c(nc(nc12)C#N)-c1cnc(OCCC2CCN(CC2)C(=O)C2CCCN2)c(c1)C(F)(F)F	2
CN1CCC[C@H]1C(=O)N1CCC(CC1)OCCOc1ncc(cc1C(F)(F)F)-c1nc(nc2n(C)ccc12)C#N	2
Cc1nc2c(nc(nc2n1C)C#N)-c1ccc(OCCC2CCNCC2)c(c1)C(F)(F)F	2
CCN1CCCC(CCOc2ncc(cc2C(F)(F)F)-c2nc(nc3n(C)ccc23)C#N)C1	2
Cn1ccc2c(nc(nc12)C#N)-c1cnc(OCC2CCN(CC2)C(=O)C2CCNCC2)c(c1)C(F)(F)F	2
CCN1CCC(CCOc2ccc(cc2C#N)-c2nc(nc3n(CC4CCOC4)ccc23)C#N)CC1	2
CN1CCC(CC1)C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)cnc23)C#N)CC1	2
CC(C)(C)OC(=O)N1CC(C1)(C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(OCC(F)(F)F)cc1Cl)c1ccc(Cl)cn1	2
Clc1cc(ccc1S(=O)(=O)[C@H]1CCN(C1)c1nc(nc2CN(Cc12)C=O)C#N)-n1cccn1	2
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NCCc1cccc2ccccc12	2
Cc1cccc(n1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)c1ncc(Cl)cc1F)C(=O)NC1(CC1)C#N	2
CCC(C)(C)CC[C@H](NC(=O)N1CCOCC1)C(=O)NC1(CCN(C)CC1)C#N	2
CC(C)CN1CCC(CCOc2ncc(cc2C(F)(F)F)-c2nc(nc3n(C)cnc23)C#N)CC1	2
Cn1ccc2c(nc(nc12)C#N)-c1cnc(OCCO[C@H]2CCNC2)c(c1)C(F)(F)F	2
CCN1CCC(COc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOC4)ccc23)C#N)CC1	2
CCOC(=O)N1CCC(CC1)N1CCC1C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(Cl)cc1	2
